"tempTest","lnBWg","model_predFE"
1,-1.12085789761543,-3.9827797877022
2,-1.12085789761543,-3.90938538297309
3,-1.12085789761543,-3.83599097824398
4,-1.12085789761543,-3.76259657351488
5,-1.12085789761543,-3.68920216878577
6,-1.12085789761543,-3.61580776405666
7,-1.12085789761543,-3.54241335932755
8,-1.12085789761543,-3.46901895459844
9,-1.12085789761543,-3.39562454986933
10,-1.12085789761543,-3.32223014514022
11,-1.12085789761543,-3.24883574041111
12,-1.12085789761543,-3.175441335682
13,-1.12085789761543,-3.1020469309529
14,-1.12085789761543,-3.02865252622379
15,-1.12085789761543,-2.95525812149468
16,-1.12085789761543,-2.88186371676557
17,-1.12085789761543,-2.80846931203646
18,-1.12085789761543,-2.73507490730735
19,-1.12085789761543,-2.66168050257824
20,-1.12085789761543,-2.58828609784913
21,-1.12085789761543,-2.51489169312003
22,-1.12085789761543,-2.44149728839092
23,-1.12085789761543,-2.36810288366181
24,-1.12085789761543,-2.2947084789327
25,-1.12085789761543,-2.22131407420359
26,-1.12085789761543,-2.14791966947448
27,-1.12085789761543,-2.07452526474537
28,-1.12085789761543,-2.00113086001626
29,-1.12085789761543,-1.92773645528715
30,-1.12085789761543,-1.85434205055805
31,-1.12085789761543,-1.78094764582894
32,-1.12085789761543,-1.70755324109983
33,-1.12085789761543,-1.63415883637072
34,-1.12085789761543,-1.56076443164161
35,-1.12085789761543,-1.4873700269125
36,-1.12085789761543,-1.41397562218339
1,-0.620857897615429,-3.54444938421402
2,-0.620857897615429,-3.47105497948491
3,-0.620857897615429,-3.3976605747558
4,-0.620857897615429,-3.32426617002669
5,-0.620857897615429,-3.25087176529758
6,-0.620857897615429,-3.17747736056847
7,-0.620857897615429,-3.10408295583937
8,-0.620857897615429,-3.03068855111026
9,-0.620857897615429,-2.95729414638115
10,-0.620857897615429,-2.88389974165204
11,-0.620857897615429,-2.81050533692293
12,-0.620857897615429,-2.73711093219382
13,-0.620857897615429,-2.66371652746471
14,-0.620857897615429,-2.5903221227356
15,-0.620857897615429,-2.5169277180065
16,-0.620857897615429,-2.44353331327739
17,-0.620857897615429,-2.37013890854828
18,-0.620857897615429,-2.29674450381917
19,-0.620857897615429,-2.22335009909006
20,-0.620857897615429,-2.14995569436095
21,-0.620857897615429,-2.07656128963184
